,inscricao,ano,municipio_residencia,uf_residencia,idade,sexo,estado_civil,raca,gestante,municipio_prova,uf_prova,nota_ciencias_da_naturaza,nota_ciencias_humanas,nota_linguagens_e_codigos,nota_matematica,nota_redacao,questionario_pai,questionario_mae
0,ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,2016,Porto Alegre,RS,24,M,Não informado,Branca,Não,Porto Alegre,RS,436.3,495.4,581.2,399.4,520.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
1,2c3acac4b33ec2b195d77e7c04a2d75727fad723,2016,Granja,CE,17,F,Não informado,Parda,Não,Granja,CE,474.5,544.1,599.0,459.8,580.0,Nunca estudou,Nunca estudou
2,f4545f8ccb9ff5c8aad7d32951b3f251a26e6568,2016,Fortaleza,CE,21,F,Não informado,Parda,Não,Fortaleza,CE,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
3,3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe,2016,Rio de Janeiro,RJ,25,F,Não informado,Não declarado,Não,Rio de Janeiro,RJ,0.0,0.0,0.0,0.0,0.0,Não sei.,"Completou o Ensino Médio, mas não completou a Faculdade."
4,bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268,2016,Manaus,AM,28,M,Não informado,Preta,Não,Manaus,AM,0.0,0.0,0.0,0.0,0.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
5,a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,2016,Aracatu,BA,18,F,Não informado,Branca,Não,Brumado,BA,439.7,583.2,410.9,364.5,620.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade."
6,63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,2016,Campo Novo do Parecis,MT,18,F,Não informado,Parda,Não,Campo Novo do Parecis,MT,420.1,604.2,484.5,529.2,560.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
7,2eb189d4912f64b19d1967e8e84b6141aba18770,2016,Bagé,RS,18,F,Não informado,Branca,Não,São Paulo,SP,619.6,625.8,611.2,566.7,620.0,Completou a Pós-graduação.,"Completou a Faculdade, mas não completou a Pós-graduação."
8,5822cb43e0800429be2084b3f86a63aaa73fa66c,2016,Bezerros,PE,16,F,Não informado,Parda,Não,Bezerros,PE,500.5,555.2,521.8,372.4,680.0,Não sei.,"Completou o Ensino Médio, mas não completou a Faculdade."
9,94f7e277f87cd58e10a45da4ad5dd168651cf3ef,2016,Pouso Alegre,MG,24,M,Não informado,Amarela,Não,Pouso Alegre,MG,0.0,0.0,0.0,0.0,0.0,Não sei.,"Completou o Ensino Médio, mas não completou a Faculdade."
10,3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,2016,Caetés,PE,29,F,Não informado,Parda,Não,Caetés,PE,413.4,407.9,533.9,419.6,520.0,Nunca estudou,Não completou a 4ª série/5º ano do Ensino Fundamental.
11,6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,2016,São Luís,MA,17,F,Não informado,Parda,Não,Paço do Lumiar,MA,503.4,509.6,490.1,369.9,580.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou o Ensino Médio, mas não completou a Faculdade."
12,70b1dacb515d1aecead8a53cb465a70fda4b62b6,2016,Porto Alegre,RS,27,M,Não informado,Parda,Não,Porto Alegre,RS,402.6,556.9,599.0,464.2,360.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade."
13,8570b9be0b2b629d00743d0de77cd95a84a46fbc,2016,Fortaleza,CE,19,F,Não informado,Parda,Não,Fortaleza,CE,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
14,67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,2016,Caiçara do Norte,RN,18,M,Não informado,Parda,Não,João Câmara,RN,477.8,462.9,511.9,453.4,360.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Nunca estudou
15,4e17008781ab3d721804ffe992884f86c37dcb4c,2016,Campo Grande,MS,18,F,Não informado,Parda,Não,Campo Grande,MS,0.0,0.0,0.0,0.0,0.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio."
16,6118b53a6c928609d5ec78f7b6ae463ee3f766e3,2016,Francisco Beltrão,PR,16,M,Não informado,Branca,Não,Cascavel,PR,561.8,640.8,596.5,480.4,720.0,"Completou a Faculdade, mas não completou a Pós-graduação.",Completou a Pós-graduação.
17,036bce628d802e0da1fc727057dd40e979a03ac3,2016,Bacabal,MA,24,F,Não informado,Preta,Não,Bacabal,MA,474.4,540.0,517.4,402.4,460.0,Nunca estudou,Nunca estudou
